,fullName,position,origin,destination
1714,Dallas Walker IV,DL,Western Kentucky,Auburn
1715,Phillip Daniels,OT,Minnesota,Ohio State
1717,Jayven Williams,CB,Kennesaw State,Mississippi State
1718,Brock Stukes,IOL,North Carolina A&T,NC State
1719,Dominick Giudice,IOL,Michigan,Missouri
1721,Lucas Austin,OT,West Virginia,Virginia Tech
1722,Jaren Hamilton,WR,Alabama,Arizona State
1725,Nico Iamaleava,QB,Tennessee,UCLA
1727,George Wilson,EDGE,Campbell,South Carolina
1729,Wade Helton,IOL,Iowa State,Arizona State
1730,Max Reese,TE,Eastern Michigan,Mississippi State
1733,Ryan Ward,TE,North Carolina,West Virginia
1742,Jamari Johnson,TE,Louisville,Oregon
1743,Eugene Brooks,IOL,Oklahoma,UCLA
1744,Jacobie Henderson,CB,Marshall,Rutgers
1745,Jshawn Frausto-Ramos,S,Stanford,Arizona
1748,Tuna Altahir,RB,Eastern Washington,Stanford
1753,Will Spain,LS,Troy,Houston
1772,C.J. Douglas,S,Samford,Houston
1775,Bradley Weaver,DL,Ohio,Rutgers
1776,Jeff Weimer,WR,Idaho State,West Virginia
1777,Jimeto Obigbo,IOL,Texas State,Arizona State
1780,Marcus Moore Jr.,DL,Bowling Green,Purdue
1785,Jerry Wilson,CB,Houston,Florida State
1790,Whitt Newbauer,QB,Mercer,Oklahoma
1797,Michael Coats Jr.,CB,Nevada,West Virginia
1804,Tyshawn Wyatt,OT,James Madison,Virginia
1806,Daniel Rickert,EDGE,Tennessee Tech,Virginia
1807,Zach Aamland,OT,Illinois,Rutgers
1811,TJ Ferguson,IOL,Florida State,Syracuse
1812,Tony Johnson,WR,Cincinnati,Miami
1817,Langston Hardy,EDGE,UConn,Wake Forest
1819,Tyler Turner,S,Oregon,Baylor
1821,James Djonkam,EDGE,Eastern Michigan,Virginia Tech
1823,Preston Howard,TE,Maryland,Auburn
1826,Connor Gibbs,K,Southern Miss,Auburn
1830,Darrell Gipson,EDGE,Idaho State,Cincinnati
1831,Dru Polidore Jr.,S,Montana State,California
1834,Jaylen King,QB,East Tennessee State,Florida State
